,parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
165,27Si,27Al,b+ec,14,13,0.0,5/2,1,13,14,1014.5,3/2,1,0.006,0.0008,7.23,0.06,0.000361903,4.99988e-05,0.138155106,True,5,3,0.008694,True,-1.0
166,27Si,27Al,b+ec,14,13,0.0,5/2,1,13,14,2212.0,7/2,1,0.18,0.013,4.69,0.04,0.125485214,0.011557615,0.092103404,True,5,7,0.124469,True,1.0
167,27Si,27Al,b+ec,14,13,0.0,5/2,1,13,14,2734.9,5/2,2,0.017,0.013,5.0,0.4,0.06146,0.056606752,0.921034037,True,5,5,0.099198,True,0.0
168,27Si,27Al,b+ec,14,13,0.0,5/2,1,13,14,2982.2,3/2,2,0.026,0.013,4.34,0.22,0.280926401,0.142308528,0.50656872,True,5,3,0.339448,True,-1.0
169,26P,26Si,b+ec,15,11,0.0,3,1,14,12,1797.2,2,1,44.0,12.0,4.9,0.1,0.077373556,0.01781592,0.230258509,True,6,4,0.104042,False,-1.0
170,26P,26Si,b+ec,15,11,0.0,3,1,14,12,2786.31,2,2,3.3,2.0,5.9,0.3,0.007737356,0.005344776,0.690775528,True,6,4,0.001446,False,-1.0
171,26P,26Si,b+ec,15,11,0.0,3,1,14,12,3756.0,3,1,2.68,0.68,5.8,0.1,0.009740754,0.002242891,0.230258509,True,6,6,0.00466,False,0.0
172,26P,26Si,b+ec,15,11,0.0,3,1,14,12,3842.2,4,1,1.68,0.47,6.0,0.1,0.006146,0.001415169,0.230258509,True,6,8,0.004998,False,1.0
173,26P,26Si,b+ec,15,11,0.0,3,1,14,12,4193.2,2,3,1.78,0.75,5.9,0.2,0.007737356,0.003563184,0.460517019,True,6,4,0.015237,False,-1.0
174,28P,28Si,b+ec,15,13,0.0,3,1,14,14,1779.0,2,1,69.1,0.7,4.851,0.005,0.08661489,0.000997191,0.011512925,True,6,4,0.080356,False,-1.0
175,28P,28Si,b+ec,15,13,0.0,3,1,14,14,4617.0,4,1,1.29,0.18,5.99,0.06,0.006289159,0.000868879,0.138155106,True,6,8,0.012667,False,1.0
176,28P,28Si,b+ec,15,13,0.0,3,1,14,14,6276.0,3,1,7.6,0.4,4.788,0.023,0.100136534,0.005303176,0.052959457,True,6,6,0.171042,False,0.0
177,29P,29Si,b+ec,15,14,0.0,1/2,1,14,15,0.0,1/2,1,98.29,0.03,3.6812,0.0004,1.280538251,0.001179419,0.000921034,True,1,1,0.232412,True,0.0
178,29P,29Si,b+ec,15,14,0.0,1/2,1,14,15,1273.39,3/2,1,1.26,0.02,4.806,0.007,0.096071054,0.001548482,0.016118096,True,1,3,0.032653,True,1.0
179,29P,29Si,b+ec,15,14,0.0,1/2,1,14,15,2425.98,3/2,2,0.456,0.014,4.172,0.014,0.413611453,0.013333258,0.032236191,True,1,3,0.554889,True,1.0
180,30P,30Si,b+ec,15,15,0.0,1,1,14,16,0.0,0,1,99.939,0.003,4.893,0.0008,0.078630775,0.000144843,0.001842068,True,2,0,0.074544,False,-1.0
181,30P,30Si,b+ec,15,15,0.0,1,1,14,16,2235.3,2,1,0.055,0.003,5.884,0.024,0.008027726,0.000443629,0.055262042,True,2,4,0.009577,False,1.0
182,30P,30Si,b+ec,15,15,0.0,1,1,14,16,3498.5,2,2,0.00156,0.00015,5.26,0.024,0.033774782,0.001866463,0.055262042,True,2,4,0.046219,False,1.0
183,30P,30Si,b+ec,15,15,0.0,1,1,14,16,3787.7,0,2,0.0034,0.0003,4.48,0.04,0.203513187,0.018744257,0.092103404,True,2,0,0.203144,False,-1.0
190,30S,30P,b+ec,16,14,0.0,0,1,15,15,0.0,1,1,21.3,0.5,4.322,0.011,0.292814484,0.007416533,0.025328436,True,0,2,0.223632,False,1.0
191,30S,30P,b+ec,16,14,0.0,0,1,15,15,708.0,1,2,0.29,0.07,5.89,0.11,0.007917582,0.0020054,0.25328436,True,0,2,0.085092,False,1.0
192,30S,30P,b+ec,16,14,0.0,0,1,15,15,3019.0,1,3,0.29,0.07,3.549,0.01,1.736171233,0.03997682,0.023025851,True,0,2,1.523085,False,1.0
193,31S,31P,b+ec,16,15,0.0,1/2,1,15,16,0.0,1/2,1,98.86,0.04,3.6786,0.0004,1.28822747,0.001186501,0.000921034,True,1,1,0.287997,True,0.0
194,31S,31P,b+ec,16,15,0.0,1/2,1,15,16,1266.13,3/2,1,1.08,0.03,4.967,0.012,0.066312066,0.00183227,0.027631021,True,1,3,0.060972,True,1.0
