,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln
53,20,F,9,11,1056.848,0.004,1,5.1 FS 1.1,1056.78,0.03,100.0,0.0,[M1],3.59,0.78,2,5.1,FS,1.1,5.1e-15,1.1000000000000001e-15,6.427870264123923,1.3965846256313816,20F,2,4,1,1,True,0.3414,-0.0654,0.3259,-0.6018
54,20,F,9,11,2043.98,0.03,2,2.7 FS 0.5,2043.89,0.06,7.5,0.6,[M1],0.071,0.014,4,2.7,FS,0.5,2.7000000000000005e-15,5e-16,0.1271250107946513,0.0250669035369735,20F,2,4,2,1,True,-0.0128,0.0213,-0.1169,0.1084
55,20,F,9,11,2043.98,0.03,2,2.7 FS 0.5,1387.9,0.03,91.8,0.6,[M1],2.8,0.5,4,2.7,FS,0.5,2.7000000000000005e-15,5e-16,5.013380707394703,0.8952465548919113,20F,3,6,2,1,True,0.3014,-0.0374,0.1608,-0.4249
56,20,F,9,11,2194.3,0.03,3,2.9 FS 0.8,2194.16,0.03,47.0,1.9,[M1],0.34,0.1,6,2.9,FS,0.8,2.9e-15,8.000000000000001e-16,0.6087676573264997,0.1790493109783822,20F,2,4,2,1,True,0.037,-0.0623,0.3394,-0.3141
57,20,F,9,11,2194.3,0.03,3,2.9 FS 0.8,1371.53,0.04,51.2,1.9,[M1],1.52,0.45,6,2.9,FS,0.8,2.9e-15,8.000000000000001e-16,2.7215495268714105,0.8057218994027202,20F,4,8,2,1,True,-0.2386,0.0341,-0.2693,0.4738
58,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,771.71,0.1,2.4,0.6,[M1],0.31,0.1,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.555052864032985,0.1790493109783822,20F,3,6,3,2,True,0.1933,0.0134,0.1207,-0.3274
59,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,2965.9,0.09,27.1,1.4,[M1],0.063,0.014,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.1128010659163808,0.0250669035369735,20F,2,4,3,1,True,0.0122,-0.037,0.0815,-0.0567
60,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,2309.96,0.06,12.2,1.1,[M1],0.059,0.014,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.1056390934772455,0.0250669035369735,20F,3,6,3,1,True,0.0032,-0.0428,0.1478,-0.1083
61,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,2143.26,0.03,58.3,1.6,[M1],0.357,0.076,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.6392060401928247,0.1360774763435705,20F,4,8,3,1,True,0.2018,-0.0131,0.0108,-0.1995
62,20,F,9,11,3488.41,0.03,1,8.1 FS 0.5,2431.43,0.99,7.1,2.9,[M1],0.0132,0.0055,2,8.1,FS,0.5,8.1e-15,5e-16,0.0236345090491464,0.009847712103811,20F,1,2,3,1,True,-0.0578,-0.0161,-0.2603,0.3342
63,20,F,9,11,3488.41,0.03,1,8.1 FS 0.5,3488.13,0.04,72.6,2.5,[M1],0.0458,0.0032,2,8.1,FS,0.5,8.1e-15,5e-16,0.082004584428099,0.0057295779513082,20F,2,4,3,1,True,-0.007,-0.0189,-0.0948,0.1207
64,20,F,9,11,3526.31,0.04,0,3.8 FS 0.4,2469.34,0.04,100.0,0.0,[M1],0.378,0.041,0,3.8,FS,0.4,3.8e-15,4e-16,0.6768063954982849,0.0734102175011367,20F,1,2,1,1,True,0.0578,-0.214,0.2101,-0.0539
65,21,F,9,12,1730.4,0.06,3/2,0.05 PS 0.04,1730.28,0.08,100.0,2.5,[M1],0.07,0.06,3,0.05,PS,0.04,5e-14,4e-14,0.1253345176848675,0.1074295865870293,21F,5/2,5,1,1,True,0.2161,-0.0103,0.1842,-0.39
66,21,F,9,12,1730.4,0.06,3/2,0.05 PS 0.04,1450.5,0.2,22.0,2.5,[M1],0.026,0.021,3,0.05,PS,0.04,5e-14,4e-14,0.0465528208543793,0.0376003553054602,21F,1/2,1,1,1,True,0.0804,-0.0097,0.363,-0.4337
67,22,F,9,13,709.1,0.3,2,57 FS 28,637.4,0.2,100.0,7.0,[M1],1.5,0.8,4,57.0,FS,28.0,5.700000000000001e-14,2.8e-14,2.685739664675734,1.4323944878270582,22F,3,6,2,1,True,-0.0593,-0.0301,-0.1028,0.1922
68,18,Ne,10,8,3616.4,0.6,2,44 FS +21-14,1729.0,0.0,91.0,2.0,M1,0.088,0.038,4,44.0,FS,21.0,4.4e-14,2.1e-14,0.1575633936609763,0.0680387381717852,18Ne,2,4,2,1,True,-0.09,0.0,0.09,0.0
69,19,Ne,10,9,1536.0,0.4,3/2,19 FS 8,1297.7,0.0,95.0,3.0,M1,0.5,0.28,3,19.0,FS,8.0,1.9e-14,8e-15,0.8952465548919113,0.5013380707394703,19Ne,5/2,5,1,1,True,0.0093,-0.3453,0.3426,-0.0066
70,21,Ne,10,11,2794.17,0.03,1/2,5.5 FS 0.7,2793.94,0.05,100.0,3.0,M1,0.184,0.024,1,5.5,FS,0.7,5.5e-15,7e-16,0.3294507322002233,0.0429718346348117,21Ne,3/2,3,1,1,True,-0.0047,0.1079,-0.1947,0.0914
71,21,Ne,10,11,4684.53,0.15,3/2,11 FS 3,4333.35,0.25,100.0,3.0,M1,0.015,0.005,3,11.0,FS,3.0,1.1e-14,3.0000000000000002e-15,0.0268573966467573,0.0089524655489191,21Ne,5/2,5,2,1,True,-0.0133,-0.1975,0.1017,0.1092
73,22,Ne,10,12,5523.3,0.6,4,21 FS 3,2166.1,0.5,100.0,0.6,M1,0.102,0.015,8,21.0,FS,3.0,2.1e-14,3.0000000000000002e-15,0.1826302971979499,0.0268573966467573,22Ne,4,8,2,1,True,0.0352,-0.0442,0.2255,-0.2166
74,22,Na,11,11,657.0,0.14,0,19.6 PS 0.7,73.9,0.1,100.0,0.0,M1,2.77,0.1,0,19.6,PS,0.7,1.96e-11,6.999999999999999e-13,4.959665914101189,0.1790493109783822,22Na,1,2,1,1,True,-0.2042,0.2042,-0.5375,0.5375
75,22,Na,11,11,2968.6,0.6,3,32 FS 4,1016.8,0.5,100.0,0.0,M1,0.65,0.09,6,32.0,FS,4.0,3.2e-14,4e-15,1.1638205213594848,0.161144379880544,22Na,2,4,3,1,True,0.1069,-0.1069,-0.0981,0.0981
76,22,Na,11,11,3059.4,0.6,2,23 FS 3,1107.6,0.5,100.0,1.0,M1,0.68,0.09,4,23.0,FS,3.0,2.3000000000000003e-14,3.0000000000000002e-15,1.2175353146529997,0.161144379880544,22Na,2,4,2,1,True,0.1432,-0.1432,-0.0672,0.0672
77,22,Na,11,11,4319.0,0.5,1,17 FS 10,3662.0,0.0,100.0,0.0,M1,0.026,0.016,2,17.0,FS,10.0,1.7e-14,1.0000000000000002e-14,0.0465528208543793,0.0286478897565411,22Na,0,0,4,1,True,0.0043,-0.0043,0.3288,-0.3288
78,22,Na,11,11,4360.0,0.4,2,5.0 FS 1.4,2408.1,0.3,100.0,5.0,M1,0.24,0.07,4,5.0,FS,1.4,5.000000000000001e-15,1.4e-15,0.4297183463481174,0.1253345176848675,22Na,2,4,3,1,True,-0.0225,0.0225,-0.1278,0.1278
79,22,Na,11,11,4710.0,0.4,5,37 FS 14,638.6,0.0,83.0,6.0,M1,1.0,0.4,10,37.0,FS,14.0,3.7e-14,1.4e-14,1.7904931097838226,0.7161972439135291,22Na,4,8,3,2,True,-0.0599,0.0599,-0.2297,0.2297
81,22,Na,11,11,5100.4,1.3,4,38 FS 12,1029.0,0.0,100.0,9.0,[M1],0.2,0.07,8,38.0,FS,12.0,3.8e-14,1.2e-14,0.3580986219567645,0.1253345176848675,22Na,4,8,3,2,True,0.122,-0.122,0.0288,-0.0288
