,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,Mult Ratio,Mult Ratio Unc,Conv Coef,Conv Coef Unc,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (e^2fm^4),B_exp Unc (e^2fm^4),Nucleus,Jf,twoJf,ni,nf,Include
267,34,Ar,18,16,3287.7,0.5,2,194 FS 35,3286.0,4.0,9.0,6.0,[E2],,,,,0.1,0.07,4,194.0,FS,35.0,1.94e-13,3.5e-14,0.6543189681757754,0.4580232777230428,34Ar,0,0,2,1,True
268,36,Ar,18,18,1970.38,0.05,2,328 FS 20,1970.3,0.0,100.0,0.0,E2,,,,,8.2,0.5,4,328.0,FS,20.0,3.28e-13,2.0000000000000003e-14,57.90305451635943,3.530674055875576,36Ar,0,0,1,1,True
269,36,Ar,18,18,4414.4,0.16,4,76 FS 10,2443.9,0.0,100.0,0.0,E2,,,,,12.0,1.6,8,76.0,FS,10.0,7.6e-14,1.0000000000000002e-14,84.73617734101381,11.298156978801842,36Ar,2,4,1,1,True
270,36,Ar,18,18,4440.11,0.19,2,76 FS 14,4439.8,0.0,100.0,3.0,E2,,,,,0.39,0.08,4,76.0,FS,14.0,7.6e-14,1.4e-14,2.753925763582949,0.5649078489400922,36Ar,0,0,2,1,True
271,36,Ar,18,18,6356.0,0.6,4,0.31 PS 0.1,4385.3,0.0,100.0,4.0,E2,,,,,0.07,0.03,8,0.31,PS,0.1,3.1e-13,1e-13,0.4942943678225806,0.2118404433525345,36Ar,2,4,3,1,True
272,36,Ar,18,18,7767.0,0.4,6,76 FS 11,3352.5,0.8,42.9,1.7,E2,,,,,0.75,0.12,12,76.0,FS,11.0,7.6e-14,1.1e-14,5.296011083813363,0.8473617734101381,36Ar,4,8,1,1,True
273,37,Ar,18,19,2217.0,0.23,7/2,283 FS 22,2217.1,0.3,100.0,0.0,E2,,,0.000434,6e-06,4.6,0.5,7,283.0,FS,22.0,2.83e-13,2.2e-14,33.69078146916754,3.6620414640399503,37Ar,3/2,3,1,1,True
274,38,Ar,18,20,2167.472,0.012,2,0.458 PS 0.021,2167.405,0.012,100.0,0.0,E2,,,,,3.4,0.16,4,0.458,PS,0.021,4.58e-13,2.1e-14,25.803265248317683,1.214271305803185,38Ar,0,0,1,1,True
275,38,Ar,18,20,3376.9,0.3,0,22.8 PS 1.5,1209.4,0.3,100.0,0.0,E2,,,,,1.26,0.08,0,22.8,PS,1.5,2.28e-11,1.5e-12,9.56238653320008,0.6071356529015925,38Ar,2,4,2,1,True
276,38,Ar,18,20,3936.5,0.4,2,43 FS 5,3936.1,0.5,100.0,0.6,[E2],,,,,1.71,0.24,4,43.0,FS,5.0,4.3000000000000006e-14,5.000000000000001e-15,12.97752458077154,1.8214069587047772,38Ar,0,0,2,1,True
277,38,Ar,18,20,4709.3,1.0,0,1.7 PS +2.1-0.7,772.8,0.9,100.0,0.0,[E2],,,,,160.0,110.0,0,1.7,PS,2.1,1.6999999999999998e-12,2.1e-12,1214.271305803185,834.8115227396897,38Ar,2,4,3,2,True
278,38,Ar,18,20,5349.4,0.3,4,0.14 PS 0.04,1413.1,0.4,50.0,3.0,[E2],,,,,28.0,16.0,8,0.14,PS,0.04,1.4e-13,4e-14,212.4974785155574,121.4271305803185,38Ar,2,4,1,2,True
279,38,Ar,18,20,5349.4,0.3,4,0.14 PS 0.04,784.0,1.0,2.5,1.3,[E2],,,,,27.0,35.0,8,0.14,PS,0.04,1.4e-13,4e-14,204.90828285428748,265.62184814444674,38Ar,2,4,1,3,True
280,38,Ar,18,20,5349.4,0.3,4,0.14 PS 0.04,3182.2,0.7,100.0,5.0,E2,,,,,1.0,0.5,8,0.14,PS,0.04,1.4e-13,4e-14,7.589195661269906,3.794597830634953,38Ar,2,4,1,1,True
281,38,Ar,18,20,5594.6,0.6,2,60 FS 18,2217.6,0.0,39.0,5.0,[E2],,,,,3.3,2.6,4,60.0,FS,18.0,6.000000000000001e-14,1.8000000000000002e-14,25.04434568219069,19.73190871930176,38Ar,0,0,5,2,True
282,38,Ar,18,20,6053.2,0.4,4,71 FS 14,2116.0,1.0,41.0,6.0,[E2],,,,,5.5,2.7,8,71.0,FS,14.0,7.1e-14,1.4e-14,41.74057613698449,20.490828285428748,38Ar,2,4,2,2,True
283,38,Ar,18,20,6053.2,0.4,4,71 FS 14,1488.0,1.0,32.0,4.0,[E2],,,,,25.0,13.0,8,71.0,FS,14.0,7.1e-14,1.4e-14,189.72989153174765,98.65954359650878,38Ar,2,4,2,3,True
284,38,Ar,18,20,6276.1,0.4,4,81 FS 35,4108.4,0.0,100.0,6.0,[E2],,,,,0.36,0.42,8,81.0,FS,35.0,8.100000000000002e-14,3.5e-14,2.732110438057166,3.1874621777333605,38Ar,2,4,3,1,False
