,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,B_th_free (W.u.),B_th_brown (W.u.),B_rel_err_free,B_rel_err_brown,B_residual_free,B_residual_brown,B_residual_free (Abs),B_residual_brown (Abs)
28,38,19,F,9,10,1554.038,0.009,3/2,3.5 FS 2.1,1356.9,0.0,92.6,0.2,M1,2.3,1.4,3,3.5,FS,2.1,3.5e-15,2.1000000000000002e-15,4.118134152502791,2.506690353697352,19F,5/2,5,1,1,True,-0.3453,0.0093,-0.0066,0.3426,2.1701410340548826,1.9115841467505927,0.05646041997613794,0.16887645793452483,0.08705324710740488,0.26038141461595027,0.08705324710740488,0.26038141461595027
20,29,18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,3249.0,0.0,57.0,3.0,M1,0.14,0.03,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,0.2506690353697351,0.0537147932935146,18F,2,4,5,2,True,0.0105,-0.0105,-0.1442,0.1442,0.00115016752849162,0.004400889404268156,0.9917845176536313,0.9685650756837988,0.2691550439415135,0.262853644985949,0.2691550439415135,0.262853644985949
80,94,25,Al,13,12,2485.3,0.9,1/2,4 FS 2,2033.4,1.0,100.0,4.0,M1,0.5,0.3,1,4.0,FS,2.0,4e-15,2e-15,0.8952465548919113,0.5371479329351467,25Al,1/2,1,2,1,True,0.1774,0.0028,-0.1096,-0.0706,0.42342242857955953,0.34250572156746373,0.15315514284088094,0.31498855686507254,0.1284842304153188,0.2642487974464413,0.1284842304153188,0.2642487974464413
3,6,18,F,9,9,1700.81,0.18,1,662 FS 19,659.0,0.0,70.2,1.3,M1,0.0805,0.0027,2,662.0,FS,19.0,6.62e-13,1.9e-14,0.1441346953375977,0.0048343313964163,18F,0,0,2,1,True,0.0268,-0.0268,0.3135,-0.3135,0.17880645696679326,0.2180318170738827,-1.2211982231899783,-1.7084697773153128,-0.19088370090145984,-0.26704840195423907,0.19088370090145984,0.26704840195423907
93,108,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,614.514,0.0,2.24,0.08,[M1],0.39,0.08,4,3.5,FS,0.7,3.5e-15,7e-16,0.6982923128156908,0.1432394487827058,26Al,3,6,5,3,True,-0.0728,0.0728,-0.2754,0.2754,0.5154972426597543,0.5336217432162904,-0.3217878016916776,-0.36826088004177027,-0.24079602545060239,-0.2755721496489926,0.24079602545060239,0.2755721496489926
4,12,18,F,9,9,3839.17,0.22,2,13.2 FS 1.9,777.0,0.0,50.0,3.0,M1,1.7,0.3,4,13.2,FS,1.9,1.32e-14,1.9e-15,3.0438382866324982,0.5371479329351467,18F,2,4,3,2,True,0.1563,-0.1563,0.3789,-0.3789,1.912002078223106,1.8771478579593348,-0.12470710483712119,-0.1042046223290205,-0.35570367878855513,-0.2972241842805679,0.35570367878855513,0.2972241842805679
167,202,38,K,19,19,1697.65,0.25,1,48 FS 10,1567.4,0.2,100.0,0.0,M1,0.119,0.032,2,48.0,FS,10.0,4.8e-14,1.0000000000000002e-14,0.2130686800642748,0.0572957795130823,38K,0,0,2,1,True,-0.1499,0.1499,0.4849,-0.4849,0.4789942454175644,0.2725632069284972,-3.0251617261980206,-1.2904471170461953,-0.6976724374475839,-0.297607026345108,0.6976724374475839,0.297607026345108
66,78,22,Na,11,11,4360.0,0.4,2,5.0 FS 1.4,2408.1,0.3,100.0,5.0,M1,0.24,0.07,4,5.0,FS,1.4,5.000000000000001e-15,1.4e-15,0.4297183463481174,0.1253345176848675,22Na,2,4,3,1,True,-0.0225,0.0225,-0.1278,0.1278,0.0644177569273743,0.07055273772784358,0.7315926794692739,0.7060302594673183,0.33782999200494956,0.3260259480509388,0.33782999200494956,0.3260259480509388
51,62,20,F,9,11,3488.41,0.03,1,8.1 FS 0.5,2431.43,0.99,7.1,2.9,[M1],0.0132,0.0055,2,8.1,FS,0.5,8.1e-15,5e-16,0.0236345090491464,0.009847712103811,20F,1,2,3,1,True,-0.0578,-0.0161,-0.2603,0.3342,0.1519633708340787,0.18296379865502238,-10.512376578339296,-12.860893837501697,-0.26942807426191406,-0.3296196472893478,0.26942807426191406,0.3296196472893478
42,53,20,F,9,11,1056.848,0.004,1,5.1 FS 1.1,1056.78,0.03,100.0,0.0,[M1],3.59,0.78,2,5.1,FS,1.1,5.1e-15,1.1000000000000001e-15,6.427870264123923,1.3965846256313816,20F,2,4,1,1,True,0.3414,-0.0654,0.3259,-0.6018,3.4445674176558647,3.2778458056156476,0.04051046861953625,0.08695102907642123,0.15559627256767325,0.33396937831743595,0.15559627256767325,0.33396937831743595
91,106,26,Al,13,13,3073.63,0.04,3,194 FS 31,1004.14,0.0,100.0,0.6,[M1],0.093,0.015,6,194.0,FS,31.0,1.94e-13,3.1e-14,0.1665158592098955,0.0268573966467573,26Al,2,4,4,2,True,0.0617,-0.0617,0.1221,-0.1221,0.2759533601431062,0.26543279440805023,-1.967240431646303,-1.854116068903766,-0.3550986533851023,-0.33467902992234855,0.3550986533851023,0.33467902992234855
31,42,19,F,9,10,5500.7,1.7,3/2,4 KEV 1,3946.7,0.0,11.0,0.0,M1,0.18,0.0,3,4.0,KEV,1.0,1.1405736856113902e-19,4.562294742445562e-19,0.322288759761088,0.0,19F,3/2,3,3,1,True,-0.0227,-0.0351,0.084,-0.0262,0.004678025966428826,0.006445680109497206,0.9740109668531731,0.9641906660583489,0.34043101754091487,0.33699867939903455,0.34043101754091487,0.33699867939903455
81,95,26,Al,13,13,1057.739,0.012,1,25 FS 5,829.3,0.4,100.0,0.0,M1,1.5,0.3,2,25.0,FS,5.0,2.5e-14,5.000000000000001e-15,2.685739664675734,0.5371479329351467,26Al,0,0,1,1,True,0.1298,-0.1298,0.4932,-0.4932,1.6429079234534976,1.701651510157676,-0.09527194896899838,-0.13443434010511726,-0.2397753575177079,-0.3383371738500976,0.2397753575177079,0.3383371738500976
155,185,32,P,15,17,2657.53,0.09,2,8.3 FS 2.8,902.51,0.14,10.0,3.0,(M1),0.24,0.11,4,8.3,FS,2.8,8.300000000000002e-15,2.8e-15,0.4297183463481174,0.1969542420762204,32P,3,6,4,1,True,0.021,-0.0717,-0.0371,0.0878,0.07022483114640674,0.054306885482016745,0.707396536889972,0.773721310491597,0.32238858808614007,0.35261541137618196,0.32238858808614007,0.35261541137618196
35,46,19,F,9,10,6330.0,2.0,7/2,2.4 KEV,1952.0,0.0,18.0,2.0,M1,0.22,0.06,7,2.4,KEV,0.0,1.9009561426856504e-19,,0.3939084841524409,0.1074295865870293,19F,7/2,7,4,1,True,-0.0034,0.0523,-0.0417,-0.0072,0.03800012482636697,0.03515608098507821,0.8272721598801501,0.8401996318860081,0.3510235571390881,0.35650887071348625,0.3510235571390881,0.35650887071348625
106,122,26,Al,13,13,3753.63,0.13,0,5 FS 2,2695.74,0.0,100.0,0.5,[M1],0.19,0.08,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.3401936908589263,0.1432394487827058,26Al,1,2,2,1,True,0.036,-0.036,0.4171,-0.4171,0.31923641822569837,0.388725922979,-0.6801916748720966,-1.0459259104157894,-0.24797051467171172,-0.3813025003033914,0.24797051467171172,0.3813025003033914
13,22,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2925.0,0.0,2.3,0.3,M1,0.078,0.027,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.1396584625631381,0.0483433139641632,18F,3,6,5,2,True,-0.1231,0.1231,0.265,-0.265,0.4461182682323127,0.3059093856005585,-4.719464977337342,-2.9219152000071604,-0.7138124311422461,-0.44193555890848385,0.7138124311422461,0.44193555890848385
96,112,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,2742.881,0.0,100.0,1.1,M1,0.16,0.06,4,3.5,FS,0.7,3.5e-15,7e-16,0.2864788975654116,0.1074295865870293,26Al,3,6,5,1,True,-0.1217,0.1217,0.1669,-0.1669,0.534939281805676,0.40394655874726826,-2.3433705112854746,-1.5246659921704266,-0.7231462125182299,-0.4705002611766148,0.7231462125182299,0.4705002611766148
19,28,18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,1347.0,0.0,13.0,1.5,M1,0.62,0.2,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,1.11010572806597,0.3580986219567645,18F,2,4,5,4,True,0.0037,-0.0037,0.5821,-0.5821,0.21262330464545245,0.32203050080581563,0.6570591860557219,0.48059596644223285,0.7373711296727732,0.5393389183385292,0.7373711296727732,0.5393389183385292
