,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,Bth_free,Bth_brown,B_th_free,B_th_brown,B_rel_err_free,B_rel_err_brown,B_th_free (W.u.),B_th_brown (W.u.)
98,114,26,Al,13,13,3596.34,0.04,3,18 FS 3,1526.82,0.0,100.0,0.22,[M1],0.32,0.06,6,18.0,FS,3.0,1.8000000000000002e-14,3.0000000000000002e-15,0.5729577951308232,0.1074295865870293,26Al,2,4,5,2,True,0.068,-0.068,0.2291,-0.2291,0.755362621456,0.7704378649668101,0.755362621456,0.7704378649668101,-0.3187196603631284,-0.3450381720789286,0.4219902913162011,0.4304122150652572
135,163,28,Al,13,15,2271.745,0.019,4,22 FS 3,2271.65,0.023,100.0,5.0,[M1],0.079,0.013,8,22.0,FS,3.0,2.2e-14,3.0000000000000002e-15,0.1414489556729219,0.0232764104271896,28Al,3,6,1,1,True,-0.0507,0.0358,-0.033,0.0479,0.2053689673428409,0.185548147009,0.2053689673428409,0.185548147009,-0.4522945148351665,-0.3121288947669895,0.11473126667197815,0.10365818268659217
154,184,32,P,15,17,1149.39,0.03,1,183 FS 12,636.68,0.05,100.0,4.0,M1,0.232,0.019,2,183.0,FS,12.0,1.83e-13,1.2e-14,0.4153944014698468,0.0340193690858926,32P,0,0,2,1,True,-0.0153,0.1403,-0.1286,0.0036,0.5638374440592101,0.5274120463459598,0.5638374440592101,0.5274120463459598,-0.35772838581008004,-0.2700155228904833,0.3149929855079386,0.29464360131059214
69,82,23,Na,11,12,2982.0,0.5,3/2,3.3 FS 0.4,2981.7,0.8,100.0,0.3,M1,0.147,0.018,3,3.3,FS,0.4,3.3e-15,4e-16,0.2632024871382219,0.0322288759761088,23Na,3/2,3,2,1,True,-0.1577,-0.0109,0.1698,-0.0012,0.44804042668156857,0.33241428429444003,0.44804042668156857,0.33241428429444003,-0.7027341112057486,-0.26330819098711683,0.250301914347245,0.18570630407510616
137,166,28,Al,13,15,2581.81,0.22,5,313 FS 25,310.2,0.0,6.0,2.0,[M1],0.13,0.05,10,313.0,FS,25.0,3.1300000000000013e-13,2.5e-14,0.2327641042718969,0.0895246554891911,28Al,4,8,1,1,True,0.0101,-0.0953,0.1251,-0.0399,0.2982928865510415,0.2904260359616099,0.2982928865510415,0.2904260359616099,-0.2818774669146606,-0.2480706315496775,0.16664407069890588,0.16224918210145808
59,70,21,Ne,10,11,2794.17,0.03,1/2,5.5 FS 0.7,2793.94,0.05,100.0,3.0,M1,0.184,0.024,1,5.5,FS,0.7,5.5e-15,7e-16,0.3294507322002233,0.0429718346348117,21Ne,3/2,3,1,1,True,-0.0047,0.1079,-0.1947,0.0914,0.40171582596751365,0.41105190836889,0.40171582596751365,0.41105190836889,-0.21968613665142586,-0.24803226976223544,0.22442224914386236,0.22963793763625132
158,190,33,P,15,18,2538.6,0.3,3/2,35 FS 7,691.0,0.4,8.2,1.2,[M1],0.13,0.06,3,35.0,FS,7.0,3.5e-14,7e-15,0.2327641042718969,0.1074295865870293,33P,5/2,5,2,1,True,0.1177,0.0156,-0.0202,-0.1131,0.33356008672249216,0.2889516167808401,0.33356008672249216,0.2889516167808401,-0.43343397818002644,-0.24173449411620143,0.18634641716340344,0.1614254842351062
139,168,30,Al,13,17,687.52,0.12,1,0.7 PS 0.2,443.63,0.08,100.0,2.0,(M1),0.35,0.1,2,0.7,PS,0.2,6.999999999999999e-13,2e-13,0.6266725884243378,0.1790493109783822,30Al,2,4,1,1,True,-0.1352,-0.0675,-0.3258,0.5285,0.6768540312357318,0.77761039241284,0.6768540312357318,0.77761039241284,-0.08037355344889363,-0.24119775325273748,0.37813074370711275,0.4344192136384581
151,181,31,P,15,16,3134.3,0.4,1/2,7.2 FS 0.6,3134.3,0.0,100.0,0.3,M1,0.097,0.008,1,7.2,FS,0.6,7.2e-15,6e-16,0.1736778316490308,0.0143239448782705,31P,1/2,1,2,1,True,-0.0937,-0.0268,-0.0484,0.1688,0.2201817198425626,0.21040807524676006,0.2201817198425626,0.21040807524676006,-0.2681087360626766,-0.21181866755030834,0.12300654739807963,0.11754641075237991
62,74,22,Na,11,11,657.0,0.14,0,19.6 PS 0.7,73.9,0.1,100.0,0.0,M1,2.77,0.1,0,19.6,PS,0.7,1.96e-11,6.999999999999999e-13,4.959665914101189,0.1790493109783822,22Na,1,2,1,1,True,-0.2042,0.2042,-0.5375,0.5375,6.04879789244416,5.992104255006251,6.04879789244416,5.992104255006251,-0.21993382660269847,-0.20849973882303424,3.379216699689475,3.347544276539805
